movie_id,rating,date,runtime,metascore,imdb_rating,boxoffice,budget,buzz,Adventure,Comedy,Family,Animation,Action,Sci-Fi,Mystery,Thriller,Biography,Drama,Sport,Fantasy,Crime,Romance,Music,Musical,Horror,History,War,Documentary,News,Western,Short,
1,PG,2006-12-22,108,48,6.4,250863268,110000000,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,G,2006-06-09,117,73,7.1,244082982,70000000,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,PG-13,2006-05-26,104,58,6.7,234362462,210000000,23,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,PG-13,2006-05-19,149,46,6.6,217536138,125000000,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,PG-13,2006-06-28,154,72,6.0,200120000,232000000,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,PG,2006-11-17,108,77,6.4,198000317,85000000,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,PG,2006-03-31,91,60,6.8,195330621,75000000,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,PG-13,2006-11-17,144,80,8.0,22744718,12000000,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,PG-13,2006-12-15,117,64,8.0,162586036,55000000,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,PG,2006-05-19,83,67,6.7,155019340,80000000,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,PG-13,2006-08-04,108,66,6.6,148213377,73000000,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,PG-13,2006-06-23,107,45,6.4,137355633,82500000,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,PG-13,2006-05-05,126,66,6.9,133501348,150000000,23,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,R,2006-10-06,151,85,8.5,132384315,90000000,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,PG-13,2006-06-30,109,62,6.9,124740460,35000000,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,PG-13,2006-06-02,106,45,5.8,118703275,52000000,8,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,PG-13,2006-12-25,130,76,6.5,103365956,75000000,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
19,PG-13,2006-04-14,83,40,5.1,90710620,40000000,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,PG-13,2006-03-10,97,47,5.6,88715192,50000000,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,R,2006-03-24,129,76,7.6,88634237,50000000,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,PG,2006-09-29,86,49,6.1,85105259,85000000,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,PG,2006-02-10,93,38,5.7,82226474,80000000,21,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,PG,2006-02-17,120,64,7.3,81612565,40000000,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,R,2006-10-27,108,48,6.2,80238724,10000000,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
28,PG,2006-06-16,92,52,5.8,80197993,32000000,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,PG-13,2006-07-14,110,46,5.6,75802010,54000000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,PG,2006-12-15,104,38,5.1,75030163,100000000,16,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,PG,2006-07-21,91,68,6.6,73661010,75000000,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,PG-13,2006-08-09,129,66,5.9,70511035,50000000,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,PG,2006-12-20,102,63,7.1,70278893,65000000,4,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,PG-13,2006-01-27,99,34,4.8,70269899,24000000,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,PG-13,2006-08-11,104,48,6.5,70165972,40000000,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
39,PG,2006-11-03,85,74,6.6,65328121,12000000,9,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,R,2006-07-28,132,65,6.0,64665672,149000000,5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,PG-13,2006-02-24,107,45,5.3,63478838,135000000,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
