,Title
0,Pirates of the Caribbean: Dead Manâs Chest
1,Night at the Museum
2,Cars
3,X-Men: The Last Stand
4,The Da Vinci Code
5,Superman Returns
6,Happy Feet
7,Ice Age: The Meltdown
8,Casino Royale
9,The Pursuit of Happyness
10,Over the Hedge
11,Talladega Nights: The Ballad of Ricky Bobby
12,Click
13,Mission: Impossible III
14,The Departed
15,Borat
16,The Devil Wears Prada
17,The Break-Up
18,Dreamgirls
19,Scary Movie 4
20,Failure to Launch
21,Inside Man
22,Open Season
23,The Santa Clause 3: The Escape Clause
24,Charlotte's Web
25,The Pink Panther
26,Eight Below
27,Saw III
28,Nacho Libre
29,"You, Me and Dupree"
30,Eragon
31,Monster House
32,Barnyard: The Original Party Animals
33,Jackass: Number Two
34,R.V.
35,V for Vendetta
36,World Trade Center
37,Rocky Balboa
38,Big Momma's House 2
39,Step Up
40,Flushed Away
41,DÃ©jÃ  Vu
42,Miami Vice
43,The Holiday
44,Madea's Family Reunion
45,The Fast and the Furious: Tokyo Drift
46,Underworld: Evolution
47,The Shaggy Dog
48,Poseidon
49,The Good Shepherd
50,Little Miss Sunshine
51,The Benchwarmers
52,Curious George
53,Little Man
54,Invincible
55,Blood Diamond
56,The Queen
57,The Guardian
58,The Omen
59,Final Destination 3
60,The Prestige
61,The Lake House
62,Hoodwinked
63,Apocalypto
64,Firewall
65,Date Movie
66,When a Stranger Calls
67,Hostel
68,Nanny McPhee
69,Silent Hill
70,Deep Sea 3D
71,We Are Marshall
72,Glory Road
73,Lady in the Water
74,The Hills Have Eyes
75,John Tucker Must Die
76,Stranger Than Fiction
77,The Illusionist
78,The Texas Chainsaw Massacre: The Beginning
79,The Grudge 2
80,Gridiron Gang
81,Last Holiday
82,El Laberinto del Fauno
83,The Nativity Story
84,Man of the Year
85,The Wild
86,16 Blocks
87,Accepted
88,The Sentinel
89,Children of Men
90,Deck the Halls
91,Take the Lead
92,Babel
93,Snakes on a Plane
94,She's the Man
95,Flags of Our Fathers
96,United 93
97,Employee of the Month
98,Garfield: A Tail of Two Kitties
99,The Ant Bully
100,Crank
101,Stick It
102,The Descent
103,Thank You For Smoking
104,Huo Yuan Jia
105,The Wicker Man
106,Clerks II
107,An Inconvenient Truth
108,The Covenant
