genre_id,genre_name
0,"Action, Adventure, Fantasy"
1,"Adventure, Comedy, Family"
2,"Animation, Adventure, Comedy"
3,"Action, Adventure, Sci-Fi"
4,"Mystery, Thriller"
5,"Action, Sci-Fi"
6,"Animation, Adventure, Comedy"
7,"Animation, Adventure, Comedy"
8,"Action, Adventure, Thriller"
9,"Biography, Drama"
10,"Animation, Adventure, Comedy"
11,"Comedy, Sport"
12,"Comedy, Drama, Fantasy"
13,"Action, Adventure, Thriller"
14,"Crime, Drama, Thriller"
15,Comedy
16,"Comedy, Drama"
17,"Comedy, Drama, Romance"
18,"Drama, Music, Musical"
19,Comedy
20,"Comedy, Romance"
21,"Crime, Drama, Mystery"
22,"Animation, Adventure, Comedy"
23,"Adventure, Comedy, Family"
24,"Adventure, Comedy, Family"
25,"Adventure, Comedy, Crime"
26,"Adventure, Drama, Family"
27,"Crime, Horror, Mystery"
28,"Comedy, Family, Sport"
29,"Comedy, Romance"
30,"Action, Adventure, Family"
31,"Animation, Comedy, Family"
32,"Documentary, Action, Comedy"
34,"Action, Drama, Sci-Fi"
35,"Drama, History, Thriller"
36,"Action, Drama, Sport"
37,"Comedy, Crime"
38,"Crime, Drama, Music"
39,"Animation, Action, Adventure"
41,"Action, Crime, Drama"
42,"Comedy, Romance"
43,"Comedy, Drama, Romance"
44,"Action, Crime, Thriller"
45,"Action, Fantasy, Thriller"
46,"Comedy, Family, Fantasy"
47,"Action, Adventure, Thriller"
48,"Drama, History, Thriller"
49,"Comedy, Drama"
50,"Comedy, Sport"
51,"Animation, Adventure, Comedy"
52,"Comedy, Crime"
54,"Adventure, Drama, Thriller"
55,"Biography, Drama, History"
56,"Action, Adventure, Drama"
58,"Horror, Thriller"
59,"Drama, Mystery, Sci-Fi"
62,"Action, Adventure, Drama"
63,"Action, Crime, Thriller"
64,"Comedy, Romance"
65,"Horror, Thriller"
66,Horror
67,"Comedy, Family, Fantasy"
68,"Horror, Mystery"
69,"Drama, Sport"
70,"Biography, Drama, Sport"
71,"Drama, Fantasy, Mystery"
72,"Horror, Thriller"
73,"Comedy, Romance"
74,"Comedy, Drama, Fantasy"
75,"Drama, Fantasy, Mystery"
76,"Horror, Thriller"
77,"Horror, Thriller"
78,"Biography, Crime, Drama"
79,"Comedy, Romance"
80,"Drama, Fantasy, War"
81,"Adventure, Drama, Family"
82,"Comedy, Drama, Romance"
83,"Animation, Adventure, Comedy"
84,"Action, Drama, Thriller"
85,Comedy
86,"Action, Crime, Thriller"
87,"Action, Sci-Fi, Thriller"
88,"Comedy, Family"
89,"Drama, Music"
90,Drama
91,"Action, Adventure, Crime"
92,"Comedy, Romance, Sport"
93,"Action, Adventure, Drama"
94,"Action, Drama, History"
95,"Comedy, Romance"
96,"Animation, Adventure, Comedy"
97,"Action, Crime, Thriller"
98,"Comedy, Drama, Sport"
99,"Adventure, Horror, Thriller"
100,"Comedy, Drama"
101,"Action, Biography, Drama"
103,Comedy
104,"Documentary, News"
105,"Action, Adventure, Fantasy"
106,"Fantasy, Horror, Mystery"
107,"Crime, Drama, Mystery"
108,"Comedy, Romance, Sci-Fi"
109,"Crime, Drama, Thriller"
110,"Action, Crime, Drama"
111,"Comedy, Crime, Drama"
112,"Adventure, Drama, Family"
113,"Comedy, Drama, Music"
114,"Horror, Sci-Fi, Thriller"
115,Comedy
116,"Drama, Family"
117,"Action, Comedy, Drama"
118,"Comedy, Family, Fantasy"
119,"Action, Sci-Fi"
120,Comedy
121,"Biography, Drama, History"
122,"Crime, Drama, Romance"
123,"Comedy, Fantasy, Romance"
124,"Drama, Romance, Sport"
125,"Adventure, Comedy, Family"
128,"Biography, Drama, History"
129,"Comedy, Romance"
132,"Animation, Adventure, Comedy"
133,"Biography, Crime, Drama"
134,"Action, Adventure, Drama"
135,"Biography, Drama, History"
136,"Comedy, Drama, Romance"
137,"Action, Drama, History"
138,"Comedy, Family"
139,"Comedy, Drama"
141,"Crime, Drama, Musical"
142,"Crime, Drama, Mystery"
143,"Action, Crime, Drama"
144,"Action, Adventure, Comedy"
145,"Adventure, Biography, Drama"
146,"Documentary, Comedy, Music"
147,"Comedy, Drama, Romance"
148,"Comedy, Drama, Romance"
149,"Comedy, Family, Romance"
150,"Biography, Drama, History"
151,"Comedy, Crime, Fantasy"
152,"Documentary, Short"
153,"Drama, Fantasy, Sport"
154,"Drama, Mystery, Romance"
155,"Adventure, Comedy, Drama"
156,"Adventure, Comedy, Music"
157,"Adventure, Comedy, Family"
158,"Drama, Romance"
159,"Crime, Drama, Horror"
160,"Comedy, Horror, Sci-Fi"
161,"Horror, Mystery, Thriller"
162,"Animation, Adventure, Comedy"
163,"Comedy, Drama, Romance"
164,"Comedy, Music"
165,"Drama, Thriller"
166,Comedy
167,"Horror, Mystery, Thriller"
168,"Action, Sport"
169,"Comedy, Drama"
170,"Action, Crime, Drama"
171,"Action, Drama, History"
172,Comedy
173,"Drama, Mystery, Thriller"
174,Comedy
175,Drama
176,"Animation, Crime, Drama"
177,"Drama, Romance"
178,"Comedy, Drama, Fantasy"
179,"Comedy, Crime"
180,Comedy
181,"Biography, Drama, History"
182,"Comedy, Crime"
183,"Comedy, Drama, Romance"
184,"Action, Crime, Drama"
185,"Comedy, Drama, Romance"
187,Documentary
188,"Biography, Drama, Romance"
189,"Crime, Drama"
190,"Drama, Romance, Sport"
191,Drama
192,"Comedy, Drama, Romance"
193,Drama
195,"Drama, Romance"
197,"Action, Fantasy, Horror"
199,"Crime, Drama, Fantasy"
203,"Action, Crime, Drama"
204,Comedy
205,"Comedy, Drama, Romance"
206,"Crime, Drama, Western"
209,"Comedy, Drama, Music"
212,Documentary
213,"Comedy, Crime"
214,"Comedy, Drama, Romance"
215,"Action, Fantasy, Horror"
216,"Action, Adventure, Sci-Fi"
220,"Drama, Mystery, Romance"
222,"Comedy, Drama, Music"
223,"Adventure, Drama"
224,"Action, Crime, Sci-Fi"
225,"Biography, Comedy, Crime"
