movie_id,person_id,role_id
1,0,0
1,1,1
1,2,1
1,3,1
1,4,2
1,5,2
1,6,2
2,7,0
2,8,0
2,7,1
2,8,1
2,9,1
2,10,2
2,11,2
2,12,2
3,13,0
3,14,1
3,15,1
3,16,2
3,17,2
3,18,2
4,19,0
4,20,1
4,21,1
4,22,2
4,23,2
4,24,2
5,25,0
5,26,1
5,27,1
5,25,1
5,28,2
5,29,2
5,30,2
6,31,0
6,32,0
6,33,0
6,31,1
6,34,1
6,33,1
6,35,2
6,36,2
6,17,2
7,37,0
7,38,1
7,39,1
7,40,1
7,41,2
7,42,2
7,43,2
8,44,0
8,45,1
8,46,1
8,47,1
8,48,2
8,49,2
8,50,2
9,51,0
9,52,1
9,53,2
9,54,2
9,55,2
10,56,0
10,57,0
10,58,1
10,59,1
10,60,1
10,61,2
10,62,2
10,63,2
11,64,0
11,65,1
11,64,1
11,65,2
11,66,2
11,67,2
12,68,0
12,69,1
12,70,1
12,71,2
12,72,2
12,73,2
13,74,0
13,75,1
13,76,1
13,74,1
13,77,2
13,78,2
13,79,2
14,80,0
14,81,1
14,82,1
14,83,1
14,84,2
14,85,2
14,86,2
16,87,0
16,88,1
16,89,1
16,90,2
16,91,2
16,92,2
17,93,0
17,94,1
17,95,1
17,96,1
17,97,2
17,96,2
17,98,2
18,99,0
18,100,1
18,99,1
18,101,2
18,102,2
18,103,2
19,104,0
19,105,1
19,106,1
19,107,1
19,108,2
19,109,2
19,110,2
20,111,0
20,112,1
20,113,1
20,114,2
20,115,2
20,116,2
21,117,0
21,118,1
21,119,2
21,120,2
21,121,2
22,122,0
22,123,0
22,124,0
22,125,1
22,126,1
22,127,1
22,128,2
22,129,2
22,130,2
25,0,0
25,58,1
25,131,1
25,132,1
25,131,2
25,133,2
25,24,2
26,134,0
26,135,1
26,136,1
26,137,1
26,138,2
26,139,2
26,140,2
27,141,0
27,142,1
27,143,1
27,144,2
27,145,2
27,146,2
28,147,0
28,147,1
28,148,1
28,149,1
28,150,2
28,151,2
28,152,2
29,153,0
29,154,0
29,155,1
29,156,2
29,10,2
29,157,2
30,158,0
30,159,1
30,160,1
30,161,2
30,162,2
30,163,2
31,164,0
31,165,1
31,166,1
31,167,1
31,168,2
31,169,2
31,170,2
35,171,0
35,172,1
35,173,1
35,174,1
35,175,2
35,176,2
35,177,2
36,178,0
36,178,1
36,178,2
36,179,2
36,180,2
37,181,0
37,182,1
37,183,1
37,129,2
37,184,2
37,185,2
38,186,0
38,187,1
38,188,1
38,189,2
38,190,2
38,191,2
39,192,0
39,193,0
39,194,1
39,195,1
39,196,1
39,17,2
39,197,2
39,198,2
41,199,0
41,199,1
41,200,1
41,201,2
41,102,2
41,202,2
43,203,0
43,203,1
43,203,2
43,204,2
43,205,2
44,206,0
44,207,1
44,208,2
44,209,2
44,210,2
45,211,0
45,212,1
45,211,1
45,213,1
45,72,2
45,214,2
45,215,2
46,216,0
46,217,1
46,218,1
46,219,1
46,220,2
46,221,2
46,222,2
47,223,0
47,224,1
47,225,1
47,226,2
47,227,2
47,228,2
48,229,0
48,230,1
48,85,2
48,231,2
48,229,2
49,232,0
49,233,0
49,234,1
49,63,2
49,235,2
49,236,2
50,237,0
50,238,1
50,239,1
50,240,2
50,241,2
50,242,2
51,243,0
51,244,1
51,245,1
51,246,1
51,65,2
51,247,2
51,248,2
52,249,0
52,249,1
52,250,1
52,251,1
52,250,2
52,251,2
52,252,2
54,253,0
54,254,1
54,255,1
54,84,2
54,256,2
54,257,2
55,258,0
55,259,1
55,260,2
55,261,2
55,262,2
58,263,0
58,264,1
58,263,1
58,265,1
58,266,2
58,267,2
58,268,2
59,269,0
59,270,1
59,269,1
59,271,1
59,272,2
59,17,2
