movie_id,title,movie_rating,release_date,runtime,metascore,imdb_rating,budget,boxoffice,buzz
1.0,Night at the Museum,PG,2006-12-22,108.0,48.0,6.4,110000000,250863268,6
2.0,Cars,G,2006-06-09,117.0,73.0,7.1,70000000,244082982,4
3.0,X-Men: The Last Stand,PG-13,2006-05-26,104.0,58.0,6.7,210000000,234362462,23
4.0,The Da Vinci Code,PG-13,2006-05-19,149.0,46.0,6.6,125000000,217536138,7
5.0,Superman Returns,PG-13,2006-06-28,154.0,72.0,6.0,232000000,200120000,15
6.0,Happy Feet,PG,2006-11-17,108.0,77.0,6.4,85000000,198000317,3
7.0,Ice Age: The Meltdown,PG,2006-03-31,91.0,60.0,6.8,75000000,195330621,2
8.0,Casino Royale,PG-13,2006-11-17,144.0,80.0,8.0,12000000,22744718,3
9.0,The Pursuit of Happyness,PG-13,2006-12-15,117.0,64.0,8.0,55000000,162586036,3
10.0,Over the Hedge,PG,2006-05-19,83.0,67.0,6.7,80000000,155019340,4
11.0,Talladega Nights: The Ballad of Ricky Bobby,PG-13,2006-08-04,108.0,66.0,6.6,73000000,148213377,3
12.0,Click,PG-13,2006-06-23,107.0,45.0,6.4,82500000,137355633,4
13.0,Mission: Impossible III,PG-13,2006-05-05,126.0,66.0,6.9,150000000,133501348,23
14.0,The Departed,R,2006-10-06,151.0,85.0,8.5,90000000,132384315,2
16.0,The Devil Wears Prada,PG-13,2006-06-30,109.0,62.0,6.9,35000000,124740460,7
17.0,The Break-Up,PG-13,2006-06-02,106.0,45.0,5.8,52000000,118703275,8
18.0,Dreamgirls,PG-13,2006-12-25,130.0,76.0,6.5,75000000,103365956,5
19.0,Scary Movie 4,PG-13,2006-04-14,83.0,40.0,5.1,40000000,90710620,5
20.0,Failure to Launch,PG-13,2006-03-10,97.0,47.0,5.6,50000000,88715192,5
21.0,Inside Man,R,2006-03-24,129.0,76.0,7.6,50000000,88634237,1
22.0,Open Season,PG,2006-09-29,86.0,49.0,6.1,85000000,85105259,3
25.0,The Pink Panther,PG,2006-02-10,93.0,38.0,5.7,80000000,82226474,21
26.0,Eight Below,PG,2006-02-17,120.0,64.0,7.3,40000000,81612565,4
27.0,Saw III,R,2006-10-27,108.0,48.0,6.2,10000000,80238724,12
28.0,Nacho Libre,PG,2006-06-16,92.0,52.0,5.8,32000000,80197993,4
29.0,"You, Me and Dupree",PG-13,2006-07-14,110.0,46.0,5.6,54000000,75802010,3
30.0,Eragon,PG,2006-12-15,104.0,38.0,5.1,100000000,75030163,16
31.0,Monster House,PG,2006-07-21,91.0,68.0,6.6,75000000,73661010,2
35.0,World Trade Center,PG-13,2006-08-09,129.0,66.0,5.9,50000000,70511035,4
36.0,Rocky Balboa,PG,2006-12-20,102.0,63.0,7.1,65000000,70278893,4
37.0,Big Momma's House 2,PG-13,2006-01-27,99.0,34.0,4.8,24000000,70269899,4
38.0,Step Up,PG-13,2006-08-11,104.0,48.0,6.5,40000000,70165972,3
39.0,Flushed Away,PG,2006-11-03,85.0,74.0,6.6,12000000,65328121,9
41.0,Miami Vice,R,2006-07-28,132.0,65.0,6.0,149000000,64665672,5
43.0,Madea's Family Reunion,PG-13,2006-02-24,107.0,45.0,5.3,135000000,63478838,1
44.0,The Fast and the Furious: Tokyo Drift,PG-13,2006-06-16,104.0,45.0,6.0,85000000,63280000,37
45.0,Underworld: Evolution,R,2006-01-20,106.0,36.0,6.7,10000000,63257940,6
46.0,The Shaggy Dog,PG,2006-03-10,98.0,43.0,4.4,85000000,62615510,13
47.0,Poseidon,PG-13,2006-05-12,98.0,50.0,5.7,45000000,62318875,6
48.0,The Good Shepherd,R,2006-12-22,167.0,61.0,6.7,60000000,61123569,5
49.0,Little Miss Sunshine,R,2006-08-18,101.0,80.0,7.8,160000000,60674817,6
50.0,The Benchwarmers,PG-13,2006-04-07,85.0,25.0,5.5,80000000,59908565,4
51.0,Curious George,G,2006-02-10,87.0,62.0,6.5,8000000,59891098,4
52.0,Little Man,PG-13,2006-07-14,98.0,26.0,4.5,35000000,59843754,2
54.0,Blood Diamond,R,2006-12-08,143.0,64.0,8.0,50000000,58640119,2
55.0,The Queen,PG-13,2006-11-17,103.0,91.0,7.3,64000000,58636047,20
58.0,Final Destination 3,R,2006-02-10,93.0,41.0,5.8,100000000,57377916,8
59.0,The Prestige,PG-13,2006-10-20,130.0,66.0,8.5,15000000,56441711,9
62.0,Apocalypto,R,2006-12-08,139.0,68.0,7.8,70000000,55011732,6
64.0,Date Movie,PG-13,2006-02-17,83.0,11.0,2.8,25000000,54098051,4
65.0,When a Stranger Calls,PG-13,2006-02-03,87.0,27.0,5.1,40000000,53089891,3
68.0,Silent Hill,R,2006-04-21,125.0,31.0,6.5,40000000,50866635,14
69.0,We Are Marshall,PG,2006-12-22,131.0,53.0,7.1,50000000,48751189,5
70.0,Glory Road,PG,2006-01-13,118.0,58.0,7.2,20000000,48548426,3
71.0,Lady in the Water,PG-13,2006-07-21,110.0,36.0,5.5,15000000,47860214,6
72.0,The Hills Have Eyes,R,2006-03-10,107.0,52.0,6.4,4800000,47326473,3
73.0,John Tucker Must Die,PG-13,2006-07-28,89.0,41.0,5.8,25000000,47279279,3
74.0,Stranger Than Fiction,PG-13,2006-11-10,113.0,67.0,7.5,50000000,46982632,2
75.0,The Illusionist,PG-13,2006-09-01,110.0,68.0,7.6,65000000,43545364,4
