person_id,name
0,Shawn Levy
1,Robert Ben Garant
2,Thomas Lennon
3,Milan Trenc
4,Ben Stiller
5,Carla Gugino
6,Ricky Gervais
7,John Lasseter
8,Joe Ranft
9,Jorgen Klubien
10,Owen Wilson
11,Bonnie Hunt
12,Paul Newman
13,Brett Ratner
14,Simon Kinberg
15,Zak Penn
16,Patrick Stewart
17,Hugh Jackman
18,Halle Berry
19,Ron Howard
20,Akiva Goldsman
21,Dan Brown
22,Tom Hanks
23,Audrey Tautou
24,Jean Reno
25,Bryan Singer
26,Michael Dougherty
27,Dan Harris
28,Brandon Routh
29,Kevin Spacey
30,Kate Bosworth
31,George Miller
32,Warren Coleman
33,Judy Morris
34,John Collee
35,Elijah Wood
36,Brittany Murphy
37,Carlos Saldanha
38,Peter Gaulke
39,Gerry Swallow
40,Jim Hecht
41,Ray Romano
42,John Leguizamo
43,Denis Leary
44,Martin Campbell
45,Neal Purvis
46,Robert Wade
47,Paul Haggis
48,Daniel Craig
49,Eva Green
50,Judi Dench
51,Gabriele Muccino
52,Steve Conrad
53,Will Smith
54,Thandiwe Newton
55,Jaden Smith
56,Tim Johnson
57,Karey Kirkpatrick
58,Len Blum
59,Lorne Cameron
60,David Hoselton
61,Bruce Willis
62,Garry Shandling
63,Steve Carell
64,Adam McKay
65,Will Ferrell
66,John C. Reilly
67,Sacha Baron Cohen
68,Frank Coraci
69,Steve Koren
70,Mark O'Keefe
71,Adam Sandler
72,Kate Beckinsale
73,Christopher Walken
74,J.J. Abrams
75,Alex Kurtzman
76,Roberto Orci
77,Tom Cruise
78,Michelle Monaghan
79,Ving Rhames
80,Martin Scorsese
81,William Monahan
82,Alan Mak
83,Felix Chong
84,Leonardo DiCaprio
85,Matt Damon
86,Jack Nicholson
87,David Frankel
88,Aline Brosh McKenna
89,Lauren Weisberger
90,Anne Hathaway
91,Meryl Streep
92,Adrian Grenier
93,Peyton Reed
94,Jeremy Garelick
95,Jay Lavender
96,Vince Vaughn
97,Jennifer Aniston
98,Jon Favreau
99,Bill Condon
100,Tom Eyen
101,Beyoncé
102,Jamie Foxx
103,Eddie Murphy
104,David Zucker
105,Craig Mazin
106,Jim Abrahams
107,Pat Proft
108,Anna Faris
109,Regina Hall
110,Craig Bierko
111,Tom Dey
112,Tom J. Astle
113,Matt Ember
114,Matthew McConaughey
115,Sarah Jessica Parker
116,Kathy Bates
117,Spike Lee
118,Russell Gewirtz
119,Denzel Washington
120,Clive Owen
121,Jodie Foster
122,Roger Allers
123,Jill Culton
124,Anthony Stacchi
125,Steve Bencich
126,Ron J. Friedman
127,Nat Mauldin
128,Ashton Kutcher
129,Martin Lawrence
130,Debra Messing
131,Steve Martin
132,Michael Saltzman
133,Kevin Kline
134,Frank Marshall
135,David DiGilio
136,Toshirô Ishidô
137,Koreyoshi Kurahara
138,Paul Walker
139,Jason Biggs
140,Bruce Greenwood
141,Darren Lynn Bousman
142,Leigh Whannell
143,James Wan
144,Tobin Bell
145,Shawnee Smith
146,Angus Macfadyen
147,Jared Hess
148,Jerusha Hess
149,Mike White
150,Jack Black
151,Ana de la Reguera
152,Héctor Jiménez
153,Anthony Russo
154,Joe Russo
155,Michael LeSieur
156,Kate Hudson
157,Matt Dillon
158,Stefen Fangmeier
159,Peter Buchman
160,Christopher Paolini
161,Ed Speleers
162,Sienna Guillory
163,Jeremy Irons
164,Gil Kenan
165,Dan Harmon
166,Rob Schrab
167,Pamela Pettler
168,Mitchel Musso
169,Sam Lerner
170,Spencer Locke
171,Oliver Stone
172,Andrea Berloff
173,John McLoughlin
174,Donna McLoughlin
175,Nicolas Cage
176,Michael Peña
177,Maria Bello
178,Sylvester Stallone
179,Antonio Tarver
180,Milo Ventimiglia
181,John Whitesell
182,Don Rhymer
183,Darryl Quarles
184,Emily Procter
185,Nia Long
186,Anne Fletcher
187,Duane Adler
188,Melissa Rosenberg
189,Channing Tatum
190,Jenna Dewan
191,Damaine Radcliff
192,David Bowers
193,Sam Fell
194,Dick Clement
195,Ian La Frenais
196,Christopher Lloyd
197,Kate Winslet
198,Ian McKellen
199,Michael Mann
200,Anthony Yerkovich
201,Colin Farrell
202,Gong Li
203,Tyler Perry
204,Blair Underwood
205,Lynn Whitfield
206,Justin Lin
207,Chris Morgan
208,Lucas Black
209,Zachery Ty Bryan
210,Shad Moss
211,Len Wiseman
212,Danny McBride
213,Kevin Grevioux
214,Scott Speedman
215,Bill Nighy
216,Brian Robbins
217,Cormac Wibberley
218,Marianne Wibberley
219,Geoff Rodkey
220,Tim Allen
221,Kristin Davis
222,Craig Kilborn
223,Wolfgang Petersen
224,Mark Protosevich
225,Paul Gallico
226,Richard Dreyfuss
227,Kurt Russell
228,Emmy Rossum
229,Robert De Niro
230,Eric Roth
231,Angelina Jolie
232,Jonathan Dayton
233,Valerie Faris
234,Michael Arndt
235,Toni Collette
236,Greg Kinnear
237,Dennis Dugan
238,Allen Covert
239,Nick Swardson
240,David Spade
241,Jon Heder
242,Rob Schneider
243,Matthew O'Callaghan
244,Ken Kaufman
245,Mike Werb
246,Margret Rey
247,Drew Barrymore
248,Eugene Levy
249,Keenen Ivory Wayans
250,Shawn Wayans
251,Marlon Wayans
252,Kerry Washington
253,Edward Zwick
254,Charles Leavitt
255,C. Gaby Mitchell
256,Djimon Hounsou
257,Jennifer Connelly
258,Stephen Frears
259,Peter Morgan
260,Helen Mirren
261,Michael Sheen
262,James Cromwell
263,James Wong
264,Glen Morgan
265,Jeffrey Reddick
266,Mary Elizabeth Winstead
267,Ryan Merriman
268,Kris Lemche
269,Christopher Nolan
270,Jonathan Nolan
271,Christopher Priest
272,Christian Bale
273,Scarlett Johansson
274,Mel Gibson
275,Farhad Safinia
276,Gerardo Taracena
277,Raoul Max Trujillo
278,Dalia Hernández
279,Aaron Seltzer
280,Jason Friedberg
281,Alyson Hannigan
282,Adam Campbell
283,Fred Willard
284,Simon West
285,Jake Wade Wall
286,Steve Feke
287,Fred Walton
288,Camilla Belle
289,Tommy Flanagan
290,Katie Cassidy
291,Christophe Gans
292,Roger Avary
293,Radha Mitchell
294,Laurie Holden
295,Sean Bean
296,McG
297,Jamie Linden
298,Cory Helms
299,Matthew Fox
300,Anthony Mackie
301,James Gartner
