,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Poster,Metascore,imdbRating,BoxOffice,Production
0,Last Man Down,2021,R,19 Oct 2021,N/A,Action,Fansu Njie,"Fansu Njie, Daniel Stisen, Andreas Vasshaug","Daniel Stisen, Olga Kent, Daniel Nehme","John Wood left the pieces of a broken civilisation behind, to go back to his roots in the woodland, after a virus pandemic struck the world.",English,https://m.media-amazon.com/images/M/MV5BZGQ2NmQ1MjQtZTc5NS00ZTE1LThiNjEtOTI4ZDUwMjlhZjg3XkEyXkFqcGdeQXVyMjUyOTAzOTk@._V1_SX300.jpg,N/A,N/A,N/A,N/A
1,Dune,2021,PG-13,22 Oct 2021,155 min,"Action, Adventure, Drama",Denis Villeneuve,"Jon Spaihts, Denis Villeneuve, Eric Roth","Timothée Chalamet, Rebecca Ferguson, Zendaya","Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.",English,https://m.media-amazon.com/images/M/MV5BN2FjNmEyNWMtYzM0ZS00NjIyLTg5YzYtYThlMGVjNzE1OGViXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,75,8.4,N/A,N/A
2,The French Dispatch,2021,R,22 Oct 2021,108 min,"Comedy, Drama, Romance",Wes Anderson,"Wes Anderson, Jason Schwartzman, Roman Coppola","Léa Seydoux, Timothée Chalamet, Christoph Waltz","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".","English, French",https://m.media-amazon.com/images/M/MV5BNmQxZTNiODYtNzBhYy00MzVlLWJlN2UtNTc4YWZjMDIwMmEzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,83,N/A,N/A,N/A
3,Ron's Gone Wrong,2021,PG,22 Oct 2021,106 min,"Animation, Adventure, Comedy","Sarah Smith, Jean-Philippe Vine, Octavio E. Rodriguez","Peter Baynham, Sarah Smith","Zach Galifianakis, Jack Dylan Grazer, Olivia Colman","The story of Barney, an awkward middle-schooler and Ron, his new walking, talking, digitally-connected device. Ron's malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friendshi",English,https://m.media-amazon.com/images/M/MV5BMzMxMjllYTgtZWNjZS00ODc0LTljZWUtYjdiMDQ2ZDJkM2FkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,68,6.3,N/A,N/A
4,Warning,2013,Not Rated,27 Sep 2013,109 min,"Adventure, Thriller","Gurmmeet Singh, Vishal Chaturvedi","Rajesh Chawla, Tejpal Singh Rawat","Santosh Barmola, Jitin Gulati, Sumit Suri",Seven school friends reunite in Fiji after many years on a yacht retreat. Their adventure takes a shift when they go into sea.,"Hindi, English",https://m.media-amazon.com/images/M/MV5BN2ZiOWMxOWItMjczNS00MzNkLTljMTAtZjRlZTVhOGQ5NTYxXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,N/A,4.7,N/A,N/A
5,Last Night in Soho,2021,N/A,29 Oct 2021,116 min,"Drama, Horror, Mystery",Edgar Wright,"Edgar Wright, Krysty Wilson-Cairns","Anya Taylor-Joy, Thomasin McKenzie, Diana Rigg",An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something da,English,https://m.media-amazon.com/images/M/MV5BZjgwZDIwY2MtNGZlNy00NGRlLWFmNTgtOTBkZThjMDUwMGJhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,67,7.3,N/A,N/A
6,Antlers,2021,R,29 Oct 2021,99 min,"Drama, Horror, Mystery",Scott Cooper,"Henry Chaisson, Nick Antosca, Scott Cooper","Keri Russell, Jesse Plemons, Jeremy T. Thomas","In an isolated Oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with a legendary ancestral creature who came before them.",English,https://m.media-amazon.com/images/M/MV5BY2UzODAyNjktN2MwYy00M2RkLThiOTEtMjU1MTgxY2EzM2YyXkEyXkFqcGdeQXVyODk5MDA0MDU@._V1_SX300.jpg,N/A,N/A,N/A,N/A
7,A Mouthful of Air,2021,R,29 Oct 2021,N/A,Drama,Amy Koppelman,Amy Koppelman,"Amanda Seyfried, Britt Robertson, Finn Wittrock","Julie Davis writes bestselling children's books about unlocking your fears, but has yet to unlock her own. When her daughter is born, that trauma is brought to the fore, and with it, a crushing battle to survive.",English,https://m.media-amazon.com/images/M/MV5BMTlmYjQwNjAtMTY0Yi00ZjJmLThmNTktZWUwYzNmYTQ3YjA2XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,N/A,N/A,N/A,N/A
8,The Souvenir: Part II,2021,R,29 Oct 2021,106 min,Drama,Joanna Hogg,Joanna Hogg,"Tilda Swinton, Honor Swinton Byrne, James Spencer Ashworth","In the aftermath of her tumultuous relationship, Julie begins to untangle her fraught love for him in making her graduation film, sorting fact from his elaborately constructed fiction.",English,https://m.media-amazon.com/images/M/MV5BODllMjY0MWYtNTMzMi00MDU4LTllZjItY2ViMDkwNDRmZTI0XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,98,8.0,N/A,N/A
9,13 Minutes,2015,N/A,15 Jun 2015,13 min,"Short, Thriller",Gregory Alan Williams,Gregory Alan Williams,"Rachel Beasley, Bruce Blackshear, Tonya Dorisca",Kill or die. A society of patriots tests their fellow citizens commitment to freedom.,English,https://m.media-amazon.com/images/M/MV5BNmU1ZmExNjgtNGZlYS00YTVlLWI3Y2QtMjg3MjQzNzdlOTY5XkEyXkFqcGdeQXVyNzMyNDI5Mg@@._V1_SX300.jpg,N/A,7.2,N/A,N/A
